"filename", "language", "JavaScript", "JSON", "Markdown", "JSON with Comments", "Vue", "HTML", "SQL", "CSS", "comment", "blank", "total"
"d:\EcoPaw\carbonfootprint\.eslintrc.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 0, 21
"d:\EcoPaw\carbonfootprint\README.md", "Markdown", 0, 0, 93, 0, 0, 0, 0, 0, 0, 18, 111
"d:\EcoPaw\carbonfootprint\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"d:\EcoPaw\carbonfootprint\backend\config\auth.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 5, 3, 14
"d:\EcoPaw\carbonfootprint\backend\config\carbonfootprint.sql", "SQL", 0, 0, 0, 0, 0, 0, 51, 0, 11, 8, 70
"d:\EcoPaw\carbonfootprint\backend\config\db.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 12, 11, 67
"d:\EcoPaw\carbonfootprint\backend\controllers\achievementController.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 12, 11, 92
"d:\EcoPaw\carbonfootprint\backend\controllers\authController.js", "JavaScript", 198, 0, 0, 0, 0, 0, 0, 0, 31, 41, 270
"d:\EcoPaw\carbonfootprint\backend\controllers\carbonController.js", "JavaScript", 274, 0, 0, 0, 0, 0, 0, 0, 23, 39, 336
"d:\EcoPaw\carbonfootprint\backend\controllers\leaderboardController.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 23, 26, 189
"d:\EcoPaw\carbonfootprint\backend\controllers\petController.js", "JavaScript", 215, 0, 0, 0, 0, 0, 0, 0, 30, 48, 293
"d:\EcoPaw\carbonfootprint\backend\middleware\auth.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 7, 10, 70
"d:\EcoPaw\carbonfootprint\backend\middleware\rateLimit.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 16, 10, 66
"d:\EcoPaw\carbonfootprint\backend\models\Achievement.js", "JavaScript", 135, 0, 0, 0, 0, 0, 0, 0, 17, 16, 168
